sa_factor,tally_factor,d_useconds,d_mem,norm_d_useconds,norm_d_mem,f
64,128,0.35336725256681134,53.92162398866299,0.2877894573030614,0.493781891979531,0.36363979526451956
16,128,0.48512306207192557,31.553395118682648,0.4303310963239699,0.2850765360362562,0.3429577565002848
64,32,0.4581904407955498,23.97555597595427,0.40119370956065625,0.2143719833979142,0.27943302308458245
16,32,0.6108046325931238,18.22953893351961,0.5663012453754857,0.16075913192593697,0.2504278859289228
16,512,0.23984598554456826,39.045632558092734,0.1649750817862639,0.3549823873529942,0.2252616872037227
256,32,0.2562964417173877,25.98134896317787,0.18277220962694773,0.23308690900871396,0.20488577734885177
256,128,0.18922378778755886,65.2509959000871,0.11020883606072275,0.5994898857206371,0.18618909829684413
4,128,0.5405353310771778,11.905222111984656,0.49027953939865304,0.10175049065135165,0.1685258556425528
64,512,0.17102472287101075,80.22988183225763,0.09051995439701147,0.7392494410380854,0.16129017546060562
4,512,0.26939167648385803,12.834416561067973,0.19693945002406898,0.11042028115482388,0.14150265787080077
4,32,0.6745130063077455,9.331799756366781,0.6352249311146427,0.07773933483550537,0.13852577464025367
64,8,0.5177666838883608,8.225675659946484,0.4656469990896293,0.06741871335927159,0.11778405860698851
16,8,0.6809088690193363,7.422944147316219,0.6421443736598117,0.059928877349267905,0.10962671303676724
256,8,0.29442979838455596,8.449474063353502,0.22402724939425353,0.06950685031969421,0.10609621509973606
4,8,0.7426526850583538,5.346968020762333,0.7089426785745213,0.04055911236069326,0.07672853115325057
1,128,0.5547603612372146,3.6133912872727185,0.5056690628037277,0.02438408342474123,0.04652468040403665
1,512,0.2782573873547138,3.694575677556345,0.20653092810282658,0.02514156928424625,0.044826310389026215
1,32,0.6841544167383635,3.334310944904834,0.6456556092791621,0.021780141801592434,0.04213879973412531
1,8,0.754246995585554,2.633148763286094,0.7214861256685967,0.015237992061471736,0.02984563581079401
256,1,0.4341852857047052,1.3539547725414842,0.37522343800714825,0.0033025527957751205,0.006547477554195413
64,1,0.7328883064131181,1.3480775146484838,0.6983789657383246,0.0032477154097818434,0.006465364530278123
16,1,0.9346486152133893,1.3246015916794855,0.9166558312046551,0.00302867478355161,0.006037401702624053
4,1,1.0116863040079653,1.238776032412195,1.0,0.002227884788061626,0.004445864701784366
1,1,1.0,1.0,0.9873570286300937,0.0,0.0
256,512,0.08735422525455747,108.17611327646007,0.0,1.0,0.0
