mem,p_len,sa_factor,t_len,tally_factor,time
554656,7,1,1483,1,0 days 00:00:00.000062000
554656,8,1,1483,1,0 days 00:00:00.000025000
554656,13,1,1483,1,0 days 00:00:00.000025000
435776,7,4,1483,1,0 days 00:00:00.000068000
435776,8,4,1483,1,0 days 00:00:00.000025000
435776,13,4,1483,1,0 days 00:00:00.000025000
404736,7,16,1483,1,0 days 00:00:00.000071000
404736,8,16,1483,1,0 days 00:00:00.000025000
404736,13,16,1483,1,0 days 00:00:00.000025000
396864,7,64,1483,1,0 days 00:00:00.000152000
396864,8,64,1483,1,0 days 00:00:00.000024000
396864,13,64,1483,1,0 days 00:00:00.000025000
394896,7,256,1483,1,0 days 00:00:00.000407000
394896,8,256,1483,1,0 days 00:00:00.000027000
394896,13,256,1483,1,0 days 00:00:00.000025000
222664,7,1,1483,8,0 days 00:00:00.000079000
222664,8,1,1483,8,0 days 00:00:00.000033000
222664,13,1,1483,8,0 days 00:00:00.000037000
103784,7,4,1483,8,0 days 00:00:00.000080000
103784,8,4,1483,8,0 days 00:00:00.000032000
103784,13,4,1483,8,0 days 00:00:00.000037000
72744,7,16,1483,8,0 days 00:00:00.000079000
72744,8,16,1483,8,0 days 00:00:00.000032000
72744,13,16,1483,8,0 days 00:00:00.000036000
64872,7,64,1483,8,0 days 00:00:00.000214000
64872,8,64,1483,8,0 days 00:00:00.000032000
64872,13,64,1483,8,0 days 00:00:00.000036000
62904,7,256,1483,8,0 days 00:00:00.000574000
62904,8,256,1483,8,0 days 00:00:00.000032000
62904,13,256,1483,8,0 days 00:00:00.000037000
179712,7,1,1483,32,0 days 00:00:00.000077000
179712,8,1,1483,32,0 days 00:00:00.000037000
179712,13,1,1483,32,0 days 00:00:00.000040000
60832,7,4,1483,32,0 days 00:00:00.000076000
60832,8,4,1483,32,0 days 00:00:00.000036000
60832,13,4,1483,32,0 days 00:00:00.000042000
29792,7,16,1483,32,0 days 00:00:00.000088000
29792,8,16,1483,32,0 days 00:00:00.000037000
29792,13,16,1483,32,0 days 00:00:00.000039000
21920,7,64,1483,32,0 days 00:00:00.000245000
21920,8,64,1483,32,0 days 00:00:00.000037000
21920,13,64,1483,32,0 days 00:00:00.000040000
19952,7,256,1483,32,0 days 00:00:00.000652000
19952,8,256,1483,32,0 days 00:00:00.000037000
19952,13,256,1483,32,0 days 00:00:00.000040000
167360,7,1,1483,128,0 days 00:00:00.000083000
167360,8,1,1483,128,0 days 00:00:00.000042000
167360,13,1,1483,128,0 days 00:00:00.000063000
48480,7,4,1483,128,0 days 00:00:00.000095000
48480,8,4,1483,128,0 days 00:00:00.000041000
48480,13,4,1483,128,0 days 00:00:00.000045000
17440,7,16,1483,128,0 days 00:00:00.000112000
17440,8,16,1483,128,0 days 00:00:00.000041000
17440,13,16,1483,128,0 days 00:00:00.000044000
9568,7,64,1483,128,0 days 00:00:00.000326000
9568,8,64,1483,128,0 days 00:00:00.000042000
9568,13,64,1483,128,0 days 00:00:00.000045000
7600,7,256,1483,128,0 days 00:00:00.000897000
7600,8,256,1483,128,0 days 00:00:00.000042000
7600,13,256,1483,128,0 days 00:00:00.000046000
163984,7,1,1483,512,0 days 00:00:00.000167000
163984,8,1,1483,512,0 days 00:00:00.000066000
163984,13,1,1483,512,0 days 00:00:00.000089000
45104,7,4,1483,512,0 days 00:00:00.000192000
45104,8,4,1483,512,0 days 00:00:00.000065000
45104,13,4,1483,512,0 days 00:00:00.000089000
14064,7,16,1483,512,0 days 00:00:00.000241000
14064,8,16,1483,512,0 days 00:00:00.000066000
14064,13,16,1483,512,0 days 00:00:00.000093000
6192,7,64,1483,512,0 days 00:00:00.000778000
6192,8,64,1483,512,0 days 00:00:00.000066000
6192,13,64,1483,512,0 days 00:00:00.000089000
4224,7,256,1483,512,0 days 00:00:00.002146000
4224,8,256,1483,512,0 days 00:00:00.000067000
4224,13,256,1483,512,0 days 00:00:00.000090000
554656,7,1,1483,1,0 days 00:00:00.000045000
554656,8,1,1483,1,0 days 00:00:00.000023000
554656,13,1,1483,1,0 days 00:00:00.000025000
435776,7,4,1483,1,0 days 00:00:00.000048000
435776,8,4,1483,1,0 days 00:00:00.000023000
435776,13,4,1483,1,0 days 00:00:00.000025000
404736,7,16,1483,1,0 days 00:00:00.000055000
404736,8,16,1483,1,0 days 00:00:00.000023000
404736,13,16,1483,1,0 days 00:00:00.000025000
396864,7,64,1483,1,0 days 00:00:00.000133000
396864,8,64,1483,1,0 days 00:00:00.000024000
396864,13,64,1483,1,0 days 00:00:00.000025000
394896,7,256,1483,1,0 days 00:00:00.000347000
394896,8,256,1483,1,0 days 00:00:00.000025000
394896,13,256,1483,1,0 days 00:00:00.000025000
222664,7,1,1483,8,0 days 00:00:00.000059000
222664,8,1,1483,8,0 days 00:00:00.000032000
222664,13,1,1483,8,0 days 00:00:00.000036000
103784,7,4,1483,8,0 days 00:00:00.000079000
103784,8,4,1483,8,0 days 00:00:00.000033000
103784,13,4,1483,8,0 days 00:00:00.000058000
72744,7,16,1483,8,0 days 00:00:00.000079000
72744,8,16,1483,8,0 days 00:00:00.000032000
72744,13,16,1483,8,0 days 00:00:00.000037000
64872,7,64,1483,8,0 days 00:00:00.000215000
64872,8,64,1483,8,0 days 00:00:00.000036000
64872,13,64,1483,8,0 days 00:00:00.000037000
62904,7,256,1483,8,0 days 00:00:00.000553000
62904,8,256,1483,8,0 days 00:00:00.000033000
62904,13,256,1483,8,0 days 00:00:00.000037000
179712,7,1,1483,32,0 days 00:00:00.000066000
179712,8,1,1483,32,0 days 00:00:00.000037000
179712,13,1,1483,32,0 days 00:00:00.000040000
60832,7,4,1483,32,0 days 00:00:00.000076000
60832,8,4,1483,32,0 days 00:00:00.000037000
60832,13,4,1483,32,0 days 00:00:00.000040000
29792,7,16,1483,32,0 days 00:00:00.000089000
29792,8,16,1483,32,0 days 00:00:00.000037000
29792,13,16,1483,32,0 days 00:00:00.000040000
21920,7,64,1483,32,0 days 00:00:00.000243000
21920,8,64,1483,32,0 days 00:00:00.000037000
21920,13,64,1483,32,0 days 00:00:00.000039000
19952,7,256,1483,32,0 days 00:00:00.000660000
19952,8,256,1483,32,0 days 00:00:00.000038000
19952,13,256,1483,32,0 days 00:00:00.000039000
167360,7,1,1483,128,0 days 00:00:00.000082000
167360,8,1,1483,128,0 days 00:00:00.000041000
167360,13,1,1483,128,0 days 00:00:00.000045000
48480,7,4,1483,128,0 days 00:00:00.000095000
48480,8,4,1483,128,0 days 00:00:00.000041000
48480,13,4,1483,128,0 days 00:00:00.000045000
17440,7,16,1483,128,0 days 00:00:00.000111000
17440,8,16,1483,128,0 days 00:00:00.000042000
17440,13,16,1483,128,0 days 00:00:00.000045000
9568,7,64,1483,128,0 days 00:00:00.000344000
9568,8,64,1483,128,0 days 00:00:00.000043000
9568,13,64,1483,128,0 days 00:00:00.000045000
7600,7,256,1483,128,0 days 00:00:00.000894000
7600,8,256,1483,128,0 days 00:00:00.000042000
7600,13,256,1483,128,0 days 00:00:00.000046000
163984,7,1,1483,512,0 days 00:00:00.000178000
163984,8,1,1483,512,0 days 00:00:00.000066000
163984,13,1,1483,512,0 days 00:00:00.000091000
45104,7,4,1483,512,0 days 00:00:00.000193000
45104,8,4,1483,512,0 days 00:00:00.000066000
45104,13,4,1483,512,0 days 00:00:00.000090000
14064,7,16,1483,512,0 days 00:00:00.000236000
14064,8,16,1483,512,0 days 00:00:00.000066000
14064,13,16,1483,512,0 days 00:00:00.000090000
6192,7,64,1483,512,0 days 00:00:00.000778000
6192,8,64,1483,512,0 days 00:00:00.000066000
6192,13,64,1483,512,0 days 00:00:00.000098000
4224,7,256,1483,512,0 days 00:00:00.002180000
4224,8,256,1483,512,0 days 00:00:00.000067000
4224,13,256,1483,512,0 days 00:00:00.000090000
554656,7,1,1483,1,0 days 00:00:00.000043000
554656,8,1,1483,1,0 days 00:00:00.000024000
554656,13,1,1483,1,0 days 00:00:00.000025000
435776,7,4,1483,1,0 days 00:00:00.000049000
435776,8,4,1483,1,0 days 00:00:00.000024000
435776,13,4,1483,1,0 days 00:00:00.000025000
404736,7,16,1483,1,0 days 00:00:00.000055000
404736,8,16,1483,1,0 days 00:00:00.000024000
404736,13,16,1483,1,0 days 00:00:00.000025000
396864,7,64,1483,1,0 days 00:00:00.000135000
396864,8,64,1483,1,0 days 00:00:00.000024000
396864,13,64,1483,1,0 days 00:00:00.000025000
394896,7,256,1483,1,0 days 00:00:00.000346000
394896,8,256,1483,1,0 days 00:00:00.000025000
394896,13,256,1483,1,0 days 00:00:00.000025000
222664,7,1,1483,8,0 days 00:00:00.000071000
222664,8,1,1483,8,0 days 00:00:00.000033000
222664,13,1,1483,8,0 days 00:00:00.000036000
103784,7,4,1483,8,0 days 00:00:00.000067000
103784,8,4,1483,8,0 days 00:00:00.000032000
103784,13,4,1483,8,0 days 00:00:00.000036000
72744,7,16,1483,8,0 days 00:00:00.000079000
72744,8,16,1483,8,0 days 00:00:00.000031000
72744,13,16,1483,8,0 days 00:00:00.000037000
64872,7,64,1483,8,0 days 00:00:00.000210000
64872,8,64,1483,8,0 days 00:00:00.000033000
64872,13,64,1483,8,0 days 00:00:00.000037000
62904,7,256,1483,8,0 days 00:00:00.000552000
62904,8,256,1483,8,0 days 00:00:00.000032000
62904,13,256,1483,8,0 days 00:00:00.000037000
179712,7,1,1483,32,0 days 00:00:00.000069000
179712,8,1,1483,32,0 days 00:00:00.000036000
179712,13,1,1483,32,0 days 00:00:00.000041000
60832,7,4,1483,32,0 days 00:00:00.000075000
60832,8,4,1483,32,0 days 00:00:00.000037000
60832,13,4,1483,32,0 days 00:00:00.000039000
29792,7,16,1483,32,0 days 00:00:00.000088000
29792,8,16,1483,32,0 days 00:00:00.000037000
29792,13,16,1483,32,0 days 00:00:00.000040000
21920,7,64,1483,32,0 days 00:00:00.000244000
21920,8,64,1483,32,0 days 00:00:00.000038000
21920,13,64,1483,32,0 days 00:00:00.000040000
19952,7,256,1483,32,0 days 00:00:00.000646000
19952,8,256,1483,32,0 days 00:00:00.000037000
19952,13,256,1483,32,0 days 00:00:00.000040000
167360,7,1,1483,128,0 days 00:00:00.000083000
167360,8,1,1483,128,0 days 00:00:00.000042000
167360,13,1,1483,128,0 days 00:00:00.000046000
48480,7,4,1483,128,0 days 00:00:00.000096000
48480,8,4,1483,128,0 days 00:00:00.000042000
48480,13,4,1483,128,0 days 00:00:00.000045000
17440,7,16,1483,128,0 days 00:00:00.000111000
17440,8,16,1483,128,0 days 00:00:00.000042000
17440,13,16,1483,128,0 days 00:00:00.000045000
9568,7,64,1483,128,0 days 00:00:00.000322000
9568,8,64,1483,128,0 days 00:00:00.000042000
9568,13,64,1483,128,0 days 00:00:00.000046000
7600,7,256,1483,128,0 days 00:00:00.000895000
7600,8,256,1483,128,0 days 00:00:00.000042000
7600,13,256,1483,128,0 days 00:00:00.000046000
163984,7,1,1483,512,0 days 00:00:00.000167000
163984,8,1,1483,512,0 days 00:00:00.000065000
163984,13,1,1483,512,0 days 00:00:00.000090000
45104,7,4,1483,512,0 days 00:00:00.000192000
45104,8,4,1483,512,0 days 00:00:00.000066000
45104,13,4,1483,512,0 days 00:00:00.000089000
14064,7,16,1483,512,0 days 00:00:00.000238000
14064,8,16,1483,512,0 days 00:00:00.000084000
14064,13,16,1483,512,0 days 00:00:00.000091000
6192,7,64,1483,512,0 days 00:00:00.000778000
6192,8,64,1483,512,0 days 00:00:00.000065000
6192,13,64,1483,512,0 days 00:00:00.000090000
4224,7,256,1483,512,0 days 00:00:00.002144000
4224,8,256,1483,512,0 days 00:00:00.000066000
4224,13,256,1483,512,0 days 00:00:00.000090000
1294568,7,1,3409,1,0 days 00:00:00.000057000
1294568,8,1,3409,1,0 days 00:00:00.000029000
1294568,13,1,3409,1,0 days 00:00:00.000026000
1028200,7,4,3409,1,0 days 00:00:00.000045000
1028200,8,4,3409,1,0 days 00:00:00.000028000
1028200,13,4,3409,1,0 days 00:00:00.000025000
960040,7,16,3409,1,0 days 00:00:00.000038000
960040,8,16,3409,1,0 days 00:00:00.000026000
960040,13,16,3409,1,0 days 00:00:00.000024000
942792,7,64,3409,1,0 days 00:00:00.000036000
942792,8,64,3409,1,0 days 00:00:00.000026000
942792,13,64,3409,1,0 days 00:00:00.000025000
938600,7,256,3409,1,0 days 00:00:00.000037000
938600,8,256,3409,1,0 days 00:00:00.000026000
938600,13,256,3409,1,0 days 00:00:00.000025000
508272,7,1,3409,8,0 days 00:00:00.000053000
508272,8,1,3409,8,0 days 00:00:00.000036000
508272,13,1,3409,8,0 days 00:00:00.000035000
241904,7,4,3409,8,0 days 00:00:00.000054000
241904,8,4,3409,8,0 days 00:00:00.000037000
241904,13,4,3409,8,0 days 00:00:00.000036000
173744,7,16,3409,8,0 days 00:00:00.000052000
173744,8,16,3409,8,0 days 00:00:00.000037000
173744,13,16,3409,8,0 days 00:00:00.000036000
156496,7,64,3409,8,0 days 00:00:00.000051000
156496,8,64,3409,8,0 days 00:00:00.000036000
156496,13,64,3409,8,0 days 00:00:00.000035000
152304,7,256,3409,8,0 days 00:00:00.000068000
152304,8,256,3409,8,0 days 00:00:00.000038000
152304,13,256,3409,8,0 days 00:00:00.000037000
401456,7,1,3409,32,0 days 00:00:00.000057000
401456,8,1,3409,32,0 days 00:00:00.000040000
401456,13,1,3409,32,0 days 00:00:00.000040000
135088,7,4,3409,32,0 days 00:00:00.000055000
135088,8,4,3409,32,0 days 00:00:00.000043000
135088,13,4,3409,32,0 days 00:00:00.000040000
66928,7,16,3409,32,0 days 00:00:00.000069000
66928,8,16,3409,32,0 days 00:00:00.000041000
66928,13,16,3409,32,0 days 00:00:00.000039000
49680,7,64,3409,32,0 days 00:00:00.000056000
49680,8,64,3409,32,0 days 00:00:00.000040000
49680,13,64,3409,32,0 days 00:00:00.000039000
45488,7,256,3409,32,0 days 00:00:00.000054000
45488,8,256,3409,32,0 days 00:00:00.000039000
45488,13,256,3409,32,0 days 00:00:00.000039000
371960,7,1,3409,128,0 days 00:00:00.000090000
371960,8,1,3409,128,0 days 00:00:00.000055000
371960,13,1,3409,128,0 days 00:00:00.000052000
105592,7,4,3409,128,0 days 00:00:00.000081000
105592,8,4,3409,128,0 days 00:00:00.000054000
105592,13,4,3409,128,0 days 00:00:00.000053000
37432,7,16,3409,128,0 days 00:00:00.000104000
37432,8,16,3409,128,0 days 00:00:00.000055000
37432,13,16,3409,128,0 days 00:00:00.000053000
20184,7,64,3409,128,0 days 00:00:00.000088000
20184,8,64,3409,128,0 days 00:00:00.000054000
20184,13,64,3409,128,0 days 00:00:00.000052000
15992,7,256,3409,128,0 days 00:00:00.000089000
15992,8,256,3409,128,0 days 00:00:00.000055000
15992,13,256,3409,128,0 days 00:00:00.000053000
364416,7,1,3409,512,0 days 00:00:00.000114000
364416,8,1,3409,512,0 days 00:00:00.000082000
364416,13,1,3409,512,0 days 00:00:00.000103000
98048,7,4,3409,512,0 days 00:00:00.000114000
98048,8,4,3409,512,0 days 00:00:00.000082000
98048,13,4,3409,512,0 days 00:00:00.000103000
29888,7,16,3409,512,0 days 00:00:00.000114000
29888,8,16,3409,512,0 days 00:00:00.000081000
29888,13,16,3409,512,0 days 00:00:00.000102000
12640,7,64,3409,512,0 days 00:00:00.000118000
12640,8,64,3409,512,0 days 00:00:00.000083000
12640,13,64,3409,512,0 days 00:00:00.000102000
8448,7,256,3409,512,0 days 00:00:00.000113000
8448,8,256,3409,512,0 days 00:00:00.000082000
8448,13,256,3409,512,0 days 00:00:00.000102000
1713128,7,1,4627,1,0 days 00:00:00.000067000
1713128,8,1,4627,1,0 days 00:00:00.000035000
1713128,13,1,4627,1,0 days 00:00:00.000027000
1388168,7,4,4627,1,0 days 00:00:00.000071000
1388168,8,4,4627,1,0 days 00:00:00.000034000
1388168,13,4,4627,1,0 days 00:00:00.000027000
1305512,7,16,4627,1,0 days 00:00:00.000109000
1305512,8,16,4627,1,0 days 00:00:00.000032000
1305512,13,16,4627,1,0 days 00:00:00.000026000
1284616,7,64,4627,1,0 days 00:00:00.000321000
1284616,8,64,4627,1,0 days 00:00:00.000033000
1284616,13,64,4627,1,0 days 00:00:00.000025000
1279528,7,256,4627,1,0 days 00:00:00.000549000
1279528,8,256,4627,1,0 days 00:00:00.000032000
1279528,13,256,4627,1,0 days 00:00:00.000025000
640016,7,1,4627,8,0 days 00:00:00.000074000
640016,8,1,4627,8,0 days 00:00:00.000044000
640016,13,1,4627,8,0 days 00:00:00.000037000
315056,7,4,4627,8,0 days 00:00:00.000074000
315056,8,4,4627,8,0 days 00:00:00.000043000
315056,13,4,4627,8,0 days 00:00:00.000037000
232400,7,16,4627,8,0 days 00:00:00.000148000
232400,8,16,4627,8,0 days 00:00:00.000045000
232400,13,16,4627,8,0 days 00:00:00.000038000
211504,7,64,4627,8,0 days 00:00:00.000476000
211504,8,64,4627,8,0 days 00:00:00.000045000
211504,13,64,4627,8,0 days 00:00:00.000038000
206416,7,256,4627,8,0 days 00:00:00.000837000
206416,8,256,4627,8,0 days 00:00:00.000046000
206416,13,256,4627,8,0 days 00:00:00.000038000
494368,7,1,4627,32,0 days 00:00:00.000074000
494368,8,1,4627,32,0 days 00:00:00.000051000
494368,13,1,4627,32,0 days 00:00:00.000040000
169408,7,4,4627,32,0 days 00:00:00.000096000
169408,8,4,4627,32,0 days 00:00:00.000053000
169408,13,4,4627,32,0 days 00:00:00.000041000
86752,7,16,4627,32,0 days 00:00:00.000164000
86752,8,16,4627,32,0 days 00:00:00.000051000
86752,13,16,4627,32,0 days 00:00:00.000041000
65856,7,64,4627,32,0 days 00:00:00.000561000
65856,8,64,4627,32,0 days 00:00:00.000052000
65856,13,64,4627,32,0 days 00:00:00.000041000
60768,7,256,4627,32,0 days 00:00:00.000959000
60768,8,256,4627,32,0 days 00:00:00.000051000
60768,13,256,4627,32,0 days 00:00:00.000041000
454864,7,1,4627,128,0 days 00:00:00.000104000
454864,8,1,4627,128,0 days 00:00:00.000069000
454864,13,1,4627,128,0 days 00:00:00.000054000
129904,7,4,4627,128,0 days 00:00:00.000114000
129904,8,4,4627,128,0 days 00:00:00.000069000
129904,13,4,4627,128,0 days 00:00:00.000054000
47248,7,16,4627,128,0 days 00:00:00.000219000
47248,8,16,4627,128,0 days 00:00:00.000069000
47248,13,16,4627,128,0 days 00:00:00.000053000
26352,7,64,4627,128,0 days 00:00:00.000740000
26352,8,64,4627,128,0 days 00:00:00.000069000
26352,13,64,4627,128,0 days 00:00:00.000054000
21264,7,256,4627,128,0 days 00:00:00.001335000
21264,8,256,4627,128,0 days 00:00:00.000070000
21264,13,256,4627,128,0 days 00:00:00.000053000
444752,7,1,4627,512,0 days 00:00:00.000202000
444752,8,1,4627,512,0 days 00:00:00.000111000
444752,13,1,4627,512,0 days 00:00:00.000090000
119792,7,4,4627,512,0 days 00:00:00.000245000
119792,8,4,4627,512,0 days 00:00:00.000112000
119792,13,4,4627,512,0 days 00:00:00.000091000
37136,7,16,4627,512,0 days 00:00:00.000519000
37136,8,16,4627,512,0 days 00:00:00.000110000
37136,13,16,4627,512,0 days 00:00:00.000091000
16240,7,64,4627,512,0 days 00:00:00.001652000
16240,8,64,4627,512,0 days 00:00:00.000111000
16240,13,64,4627,512,0 days 00:00:00.000091000
11152,7,256,4627,512,0 days 00:00:00.002963000
11152,8,256,4627,512,0 days 00:00:00.000111000
11152,13,256,4627,512,0 days 00:00:00.000091000
1713128,7,1,4627,1,0 days 00:00:00.000059000
1713128,8,1,4627,1,0 days 00:00:00.000031000
1713128,13,1,4627,1,0 days 00:00:00.000026000
1388168,7,4,4627,1,0 days 00:00:00.000058000
1388168,8,4,4627,1,0 days 00:00:00.000032000
1388168,13,4,4627,1,0 days 00:00:00.000025000
1305512,7,16,4627,1,0 days 00:00:00.000119000
1305512,8,16,4627,1,0 days 00:00:00.000033000
1305512,13,16,4627,1,0 days 00:00:00.000027000
1284616,7,64,4627,1,0 days 00:00:00.000315000
1284616,8,64,4627,1,0 days 00:00:00.000032000
1284616,13,64,4627,1,0 days 00:00:00.000026000
1279528,7,256,4627,1,0 days 00:00:00.000586000
1279528,8,256,4627,1,0 days 00:00:00.000034000
1279528,13,256,4627,1,0 days 00:00:00.000026000
640016,7,1,4627,8,0 days 00:00:00.000070000
640016,8,1,4627,8,0 days 00:00:00.000044000
640016,13,1,4627,8,0 days 00:00:00.000037000
315056,7,4,4627,8,0 days 00:00:00.000093000
315056,8,4,4627,8,0 days 00:00:00.000046000
315056,13,4,4627,8,0 days 00:00:00.000037000
232400,7,16,4627,8,0 days 00:00:00.000144000
232400,8,16,4627,8,0 days 00:00:00.000043000
232400,13,16,4627,8,0 days 00:00:00.000037000
211504,7,64,4627,8,0 days 00:00:00.000463000
211504,8,64,4627,8,0 days 00:00:00.000044000
211504,13,64,4627,8,0 days 00:00:00.000038000
206416,7,256,4627,8,0 days 00:00:00.000826000
206416,8,256,4627,8,0 days 00:00:00.000044000
206416,13,256,4627,8,0 days 00:00:00.000037000
494368,7,1,4627,32,0 days 00:00:00.000074000
494368,8,1,4627,32,0 days 00:00:00.000050000
494368,13,1,4627,32,0 days 00:00:00.000040000
169408,7,4,4627,32,0 days 00:00:00.000089000
169408,8,4,4627,32,0 days 00:00:00.000051000
169408,13,4,4627,32,0 days 00:00:00.000040000
86752,7,16,4627,32,0 days 00:00:00.000164000
86752,8,16,4627,32,0 days 00:00:00.000050000
86752,13,16,4627,32,0 days 00:00:00.000040000
65856,7,64,4627,32,0 days 00:00:00.000515000
65856,8,64,4627,32,0 days 00:00:00.000050000
65856,13,64,4627,32,0 days 00:00:00.000040000
60768,7,256,4627,32,0 days 00:00:00.000938000
60768,8,256,4627,32,0 days 00:00:00.000050000
60768,13,256,4627,32,0 days 00:00:00.000040000
454864,7,1,4627,128,0 days 00:00:00.000104000
454864,8,1,4627,128,0 days 00:00:00.000069000
454864,13,1,4627,128,0 days 00:00:00.000053000
129904,7,4,4627,128,0 days 00:00:00.000121000
129904,8,4,4627,128,0 days 00:00:00.000069000
129904,13,4,4627,128,0 days 00:00:00.000053000
47248,7,16,4627,128,0 days 00:00:00.000230000
47248,8,16,4627,128,0 days 00:00:00.000069000
47248,13,16,4627,128,0 days 00:00:00.000054000
26352,7,64,4627,128,0 days 00:00:00.000742000
26352,8,64,4627,128,0 days 00:00:00.000069000
26352,13,64,4627,128,0 days 00:00:00.000053000
21264,7,256,4627,128,0 days 00:00:00.001315000
21264,8,256,4627,128,0 days 00:00:00.000069000
21264,13,256,4627,128,0 days 00:00:00.000056000
444752,7,1,4627,512,0 days 00:00:00.000197000
444752,8,1,4627,512,0 days 00:00:00.000111000
444752,13,1,4627,512,0 days 00:00:00.000090000
119792,7,4,4627,512,0 days 00:00:00.000242000
119792,8,4,4627,512,0 days 00:00:00.000111000
119792,13,4,4627,512,0 days 00:00:00.000090000
37136,7,16,4627,512,0 days 00:00:00.000513000
37136,8,16,4627,512,0 days 00:00:00.000111000
37136,13,16,4627,512,0 days 00:00:00.000090000
16240,7,64,4627,512,0 days 00:00:00.001654000
16240,8,64,4627,512,0 days 00:00:00.000111000
16240,13,64,4627,512,0 days 00:00:00.000091000
11152,7,256,4627,512,0 days 00:00:00.002941000
11152,8,256,4627,512,0 days 00:00:00.000112000
11152,13,256,4627,512,0 days 00:00:00.000089000
1746824,7,1,4727,1,0 days 00:00:00.000049000
1746824,8,1,4727,1,0 days 00:00:00.000035000
1746824,13,1,4727,1,0 days 00:00:00.000028000
1417128,7,4,4727,1,0 days 00:00:00.000042000
1417128,8,4,4727,1,0 days 00:00:00.000034000
1417128,13,4,4727,1,0 days 00:00:00.000028000
1333128,7,16,4727,1,0 days 00:00:00.000048000
1333128,8,16,4727,1,0 days 00:00:00.000035000
1333128,13,16,4727,1,0 days 00:00:00.000028000
1311976,7,64,4727,1,0 days 00:00:00.000058000
1311976,8,64,4727,1,0 days 00:00:00.000035000
1311976,13,64,4727,1,0 days 00:00:00.000032000
1306824,7,256,4727,1,0 days 00:00:00.000053000
1306824,8,256,4727,1,0 days 00:00:00.000037000
1306824,13,256,4727,1,0 days 00:00:00.000029000
651952,7,1,4727,8,0 days 00:00:00.000059000
651952,8,1,4727,8,0 days 00:00:00.000046000
651952,13,1,4727,8,0 days 00:00:00.000042000
322256,7,4,4727,8,0 days 00:00:00.000067000
322256,8,4,4727,8,0 days 00:00:00.000048000
322256,13,4,4727,8,0 days 00:00:00.000059000
238256,7,16,4727,8,0 days 00:00:00.000055000
238256,8,16,4727,8,0 days 00:00:00.000047000
238256,13,16,4727,8,0 days 00:00:00.000042000
217104,7,64,4727,8,0 days 00:00:00.000052000
217104,8,64,4727,8,0 days 00:00:00.000046000
217104,13,64,4727,8,0 days 00:00:00.000042000
211952,7,256,4727,8,0 days 00:00:00.000051000
211952,8,256,4727,8,0 days 00:00:00.000046000
211952,13,256,4727,8,0 days 00:00:00.000042000
502160,7,1,4727,32,0 days 00:00:00.000073000
502160,8,1,4727,32,0 days 00:00:00.000053000
502160,13,1,4727,32,0 days 00:00:00.000045000
172464,7,4,4727,32,0 days 00:00:00.000062000
172464,8,4,4727,32,0 days 00:00:00.000051000
172464,13,4,4727,32,0 days 00:00:00.000044000
88464,7,16,4727,32,0 days 00:00:00.000059000
88464,8,16,4727,32,0 days 00:00:00.000050000
88464,13,16,4727,32,0 days 00:00:00.000045000
67312,7,64,4727,32,0 days 00:00:00.000059000
67312,8,64,4727,32,0 days 00:00:00.000051000
67312,13,64,4727,32,0 days 00:00:00.000044000
62160,7,256,4727,32,0 days 00:00:00.000059000
62160,8,256,4727,32,0 days 00:00:00.000051000
62160,13,256,4727,32,0 days 00:00:00.000044000
461296,7,1,4727,128,0 days 00:00:00.000071000
461296,8,1,4727,128,0 days 00:00:00.000084000
461296,13,1,4727,128,0 days 00:00:00.000065000
131600,7,4,4727,128,0 days 00:00:00.000069000
131600,8,4,4727,128,0 days 00:00:00.000084000
131600,13,4,4727,128,0 days 00:00:00.000065000
47600,7,16,4727,128,0 days 00:00:00.000083000
47600,8,16,4727,128,0 days 00:00:00.000085000
47600,13,16,4727,128,0 days 00:00:00.000066000
26448,7,64,4727,128,0 days 00:00:00.000073000
26448,8,64,4727,128,0 days 00:00:00.000084000
26448,13,64,4727,128,0 days 00:00:00.000065000
21296,7,256,4727,128,0 days 00:00:00.000069000
21296,8,256,4727,128,0 days 00:00:00.000084000
21296,13,256,4727,128,0 days 00:00:00.000066000
451248,7,1,4727,512,0 days 00:00:00.000148000
451248,8,1,4727,512,0 days 00:00:00.000143000
451248,13,1,4727,512,0 days 00:00:00.000131000
121552,7,4,4727,512,0 days 00:00:00.000152000
121552,8,4,4727,512,0 days 00:00:00.000143000
121552,13,4,4727,512,0 days 00:00:00.000116000
37552,7,16,4727,512,0 days 00:00:00.000156000
37552,8,16,4727,512,0 days 00:00:00.000143000
37552,13,16,4727,512,0 days 00:00:00.000116000
16400,7,64,4727,512,0 days 00:00:00.000156000
16400,8,64,4727,512,0 days 00:00:00.000144000
16400,13,64,4727,512,0 days 00:00:00.000116000
11248,7,256,4727,512,0 days 00:00:00.000161000
11248,8,256,4727,512,0 days 00:00:00.000143000
11248,13,256,4727,512,0 days 00:00:00.000116000
216632,7,1,637,1,0 days 00:00:00.000033000
216632,8,1,637,1,0 days 00:00:00.000023000
216632,13,1,637,1,0 days 00:00:00.000022000
180056,7,4,637,1,0 days 00:00:00.000032000
180056,8,4,637,1,0 days 00:00:00.000023000
180056,13,4,637,1,0 days 00:00:00.000021000
169304,7,16,637,1,0 days 00:00:00.000032000
169304,8,16,637,1,0 days 00:00:00.000022000
169304,13,16,637,1,0 days 00:00:00.000022000
166568,7,64,637,1,0 days 00:00:00.000031000
